Data;Regiao;Vendedor;Cliente;ID_Produto;Produto;Quantidade;Preco_Unitario;Custo_Unitario;Faturamento;Lucro
2023-09-30;Sul;Bruno;Manoela;2006;WebCam 4k;1;3614,58;1883,46;3614,58;1731,12
2025-03-31;Sudeste;Bruno;Antonia;2006;WebCam 4k;4;4676,0;2517,62;18704,0;8633,52
2022-10-31;Nordeste;Daniela;Ciro;7002;Smartphone;2;4390,16;2927,76;8780,32;2924,8
2025-03-31;Sul;Bruno;João;1005;Headset;3;1810,66;1319,4;5431,98;1473,78
2022-05-31;Centro-Oeste;Fernanda;Ciro;3003;Placa de Vídeo NVidia;5;637,4;414,8;3187,0;1113,0
2025-09-30;Sudeste;Fernanda;Ciro;2006;WebCam 4k;3;983,18;507,27;2949,54;1427,73
2025-03-31;Sudeste;Daniela;Ciro;9001;Notebook;7;2856,8;1748,06;19997,6;7761,18
2024-01-31;Sudeste;Bruno;Felipe;2006;WebCam 4k;8;4316,8;2259,5;34534,4;16458,4
2022-06-30;Sul;Daniela;Marisa;5004;Monitor;3;4863,23;2854,34;14589,69;6026,67
2023-12-31;Nordeste;Carlos;Antonia;2006;WebCam 4k;4;4938,52;3339,61;19754,08;6395,64
2024-04-30;Sudeste;Daniela;Ciro;9001;Notebook;1;4338,49;3138,88;4338,49;1199,61
2022-07-31;Centro-Oeste;Fernanda;João;2006;WebCam 4k;7;974,07;634,02;6818,49;2380,35
2024-02-29;Sudeste;Daniela;Antonia;2006;WebCam 4k;9;2132,59;1482,35;19193,31;5852,16
2024-09-30;Norte;Daniela;João;7002;Smartphone;8;2270,25;1207,56;18162,0;8501,52
2023-04-30;Nordeste;Bruno;Antonia;5004;Monitor;5;3840,46;2164,7;19202,3;8378,8
2025-04-30;Centro-Oeste;Ana;Marisa;7002;Smartphone;3;2556,01;1641,67;7668,03;2743,02
2024-04-30;Nordeste;Bruno;Marisa;9001;Notebook;1;2771,06;1702,43;2771,06;1068,63
2023-04-30;Centro-Oeste;Ana;Antonia;5004;Monitor;4;768,29;428,72;3073,16;1358,28
2023-10-31;Nordeste;Daniela;Manoela;5004;Monitor;8;1187,78;636,21;9502,24;4412,56
2022-11-30;Nordeste;Fernanda;Ciro;7002;Smartphone;2;2148,36;1600,27;4296,72;1096,18
